127.0.0.1 - - [10/Apr/2020:17:22:33 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [10/Apr/2020:17:22:37 +0530] "GET /Hospital/AfterLogin.jsp HTTP/1.1" 200 8671
0:0:0:0:0:0:0:1 - - [10/Apr/2020:17:22:37 +0530] "GET /Hospital/style.css HTTP/1.1" 404 731
0:0:0:0:0:0:0:1 - - [10/Apr/2020:17:22:37 +0530] "GET /Hospital/heart.svg HTTP/1.1" 200 3144
0:0:0:0:0:0:0:1 - - [10/Apr/2020:17:22:44 +0530] "POST /Hospital/Check.jsp HTTP/1.1" 200 3275
0:0:0:0:0:0:0:1 - - [10/Apr/2020:17:22:44 +0530] "GET /Hospital/style.css HTTP/1.1" 404 731
0:0:0:0:0:0:0:1 - - [10/Apr/2020:17:22:47 +0530] "GET /Hospital/style.css HTTP/1.1" 404 731
0:0:0:0:0:0:0:1 - - [10/Apr/2020:17:22:47 +0530] "GET /Hospital/style.css HTTP/1.1" 404 731
0:0:0:0:0:0:0:1 - - [10/Apr/2020:17:23:10 +0530] "GET /Hospital/AfterLogin.jsp HTTP/1.1" 200 8671
0:0:0:0:0:0:0:1 - - [10/Apr/2020:17:23:10 +0530] "GET /Hospital/style.css HTTP/1.1" 404 731
0:0:0:0:0:0:0:1 - - [10/Apr/2020:17:23:10 +0530] "GET /Hospital/heart.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2020:17:23:19 +0530] "POST /Hospital/Check.jsp HTTP/1.1" 200 3275
0:0:0:0:0:0:0:1 - - [10/Apr/2020:17:23:19 +0530] "GET /Hospital/style.css HTTP/1.1" 404 731
0:0:0:0:0:0:0:1 - - [10/Apr/2020:17:23:22 +0530] "GET /Hospital/style.css HTTP/1.1" 404 731
0:0:0:0:0:0:0:1 - - [10/Apr/2020:17:23:22 +0530] "GET /Hospital/style.css HTTP/1.1" 404 731
0:0:0:0:0:0:0:1 - - [10/Apr/2020:17:23:26 +0530] "POST /Hospital/Check.jsp HTTP/1.1" 200 8711
0:0:0:0:0:0:0:1 - - [10/Apr/2020:17:23:26 +0530] "GET /Hospital/style.css HTTP/1.1" 404 731
0:0:0:0:0:0:0:1 - - [10/Apr/2020:17:23:33 +0530] "POST /Hospital/Check.jsp HTTP/1.1" 200 3274
0:0:0:0:0:0:0:1 - - [10/Apr/2020:17:23:33 +0530] "GET /Hospital/style.css HTTP/1.1" 404 731
0:0:0:0:0:0:0:1 - - [10/Apr/2020:17:23:42 +0530] "GET /Hospital/BookAppointment.jsp?pid=2089&patname=Erin&prob=Diabetology HTTP/1.1" 200 4672
0:0:0:0:0:0:0:1 - - [10/Apr/2020:17:24:15 +0530] "GET /Hospital/ShowAppointment.jsp?docid=3000&dname=Wendy+Byrde&pid=2089&pname=Erin&date=12th+May+2020&time=5+PM HTTP/1.1" 200 4757
0:0:0:0:0:0:0:1 - - [10/Apr/2020:17:24:15 +0530] "GET /Hospital/style.css HTTP/1.1" 404 731
0:0:0:0:0:0:0:1 - - [10/Apr/2020:17:24:23 +0530] "GET /Hospital/AfterLogin.jsp HTTP/1.1" 200 8672
0:0:0:0:0:0:0:1 - - [10/Apr/2020:17:24:23 +0530] "GET /Hospital/style.css HTTP/1.1" 404 731
0:0:0:0:0:0:0:1 - - [10/Apr/2020:17:24:27 +0530] "GET /Hospital/Logout.jsp HTTP/1.1" 200 3593
0:0:0:0:0:0:0:1 - - [10/Apr/2020:17:24:27 +0530] "GET /Hospital/style.css HTTP/1.1" 404 731
0:0:0:0:0:0:0:1 - - [10/Apr/2020:17:24:31 +0530] "GET /Hospital/style.css HTTP/1.1" 404 731
0:0:0:0:0:0:0:1 - - [10/Apr/2020:17:24:31 +0530] "GET /Hospital/style.css HTTP/1.1" 404 731
0:0:0:0:0:0:0:1 - - [10/Apr/2020:17:24:33 +0530] "GET /Hospital/style.css HTTP/1.1" 404 731
0:0:0:0:0:0:0:1 - - [10/Apr/2020:17:24:33 +0530] "GET /Hospital/style.css HTTP/1.1" 404 731
0:0:0:0:0:0:0:1 - - [10/Apr/2020:17:38:52 +0530] "GET /Hospital/AddPatient.jsp HTTP/1.1" 200 4140
0:0:0:0:0:0:0:1 - - [10/Apr/2020:17:38:52 +0530] "GET /Hospital/style.css HTTP/1.1" 404 731
0:0:0:0:0:0:0:1 - - [10/Apr/2020:17:38:53 +0530] "GET /Hospital/style.css HTTP/1.1" 404 731
0:0:0:0:0:0:0:1 - - [10/Apr/2020:17:41:17 +0530] "GET /Hospital/AddPatient.jsp HTTP/1.1" 200 4346
0:0:0:0:0:0:0:1 - - [10/Apr/2020:17:41:17 +0530] "GET /Hospital/style.css HTTP/1.1" 404 731
0:0:0:0:0:0:0:1 - - [10/Apr/2020:17:41:17 +0530] "GET /Hospital/heart.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2020:17:42:53 +0530] "GET /Hospital/AddPatient.jsp HTTP/1.1" 200 4351
0:0:0:0:0:0:0:1 - - [10/Apr/2020:17:42:53 +0530] "GET /Hospital/style.css HTTP/1.1" 404 731
0:0:0:0:0:0:0:1 - - [10/Apr/2020:17:42:53 +0530] "GET /Hospital/heart.svg HTTP/1.1" 304 -
