127.0.0.1 - - [22/May/2020:06:16:06 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [22/May/2020:06:16:09 +0530] "GET /Hospital/AddPatient.jsp HTTP/1.1" 200 4351
0:0:0:0:0:0:0:1 - - [22/May/2020:06:16:09 +0530] "GET /Hospital/style.css HTTP/1.1" 404 731
0:0:0:0:0:0:0:1 - - [22/May/2020:06:16:10 +0530] "GET /Hospital/heart.svg HTTP/1.1" 200 3144
0:0:0:0:0:0:0:1 - - [22/May/2020:06:17:31 +0530] "GET /Hospital HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/May/2020:06:17:32 +0530] "GET /Hospital/ HTTP/1.1" 404 722
0:0:0:0:0:0:0:1 - - [22/May/2020:06:17:33 +0530] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [22/May/2020:06:18:26 +0530] "GET /Hospital/Landing.jsp HTTP/1.1" 200 4244
0:0:0:0:0:0:0:1 - - [22/May/2020:06:18:26 +0530] "GET /Hospital/style.css HTTP/1.1" 404 731
0:0:0:0:0:0:0:1 - - [22/May/2020:06:18:27 +0530] "GET /Hospital/heart.svg HTTP/1.1" 200 3144
0:0:0:0:0:0:0:1 - - [22/May/2020:06:18:27 +0530] "GET /Hospital/pic1.jpg HTTP/1.1" 200 216959
0:0:0:0:0:0:0:1 - - [22/May/2020:06:18:27 +0530] "GET /Hospital/pic2.jpg HTTP/1.1" 200 193857
0:0:0:0:0:0:0:1 - - [22/May/2020:06:18:49 +0530] "GET /Hospital/Login.jsp HTTP/1.1" 200 3454
0:0:0:0:0:0:0:1 - - [22/May/2020:06:18:49 +0530] "GET /Hospital/style.css HTTP/1.1" 404 731
0:0:0:0:0:0:0:1 - - [22/May/2020:06:43:48 +0530] "POST /Hospital/LoginProcess.jsp HTTP/1.1" 200 3467
0:0:0:0:0:0:0:1 - - [22/May/2020:06:43:48 +0530] "GET /Hospital/style.css HTTP/1.1" 404 731
0:0:0:0:0:0:0:1 - - [22/May/2020:06:43:59 +0530] "POST /Hospital/LoginProcess.jsp HTTP/1.1" 200 3470
0:0:0:0:0:0:0:1 - - [22/May/2020:06:43:59 +0530] "GET /Hospital/style.css HTTP/1.1" 404 731
0:0:0:0:0:0:0:1 - - [22/May/2020:06:44:12 +0530] "POST /Hospital/LoginProcess.jsp HTTP/1.1" 200 8672
0:0:0:0:0:0:0:1 - - [22/May/2020:06:44:12 +0530] "GET /Hospital/style.css HTTP/1.1" 404 731
0:0:0:0:0:0:0:1 - - [22/May/2020:06:44:25 +0530] "GET /Hospital/AfterLogin.jsp HTTP/1.1" 200 8672
0:0:0:0:0:0:0:1 - - [22/May/2020:06:44:25 +0530] "GET /Hospital/style.css HTTP/1.1" 404 731
0:0:0:0:0:0:0:1 - - [22/May/2020:06:44:28 +0530] "GET /Hospital/Logout.jsp HTTP/1.1" 200 3593
0:0:0:0:0:0:0:1 - - [22/May/2020:06:44:28 +0530] "GET /Hospital/style.css HTTP/1.1" 404 731
0:0:0:0:0:0:0:1 - - [22/May/2020:06:45:02 +0530] "POST /Hospital/Check.jsp HTTP/1.1" 200 3487
0:0:0:0:0:0:0:1 - - [22/May/2020:06:45:02 +0530] "GET /Hospital/style.css HTTP/1.1" 404 731
0:0:0:0:0:0:0:1 - - [22/May/2020:06:45:15 +0530] "POST /Hospital/Check.jsp HTTP/1.1" 200 142
0:0:0:0:0:0:0:1 - - [22/May/2020:06:45:37 +0530] "POST /Hospital/Check.jsp HTTP/1.1" 200 3485
0:0:0:0:0:0:0:1 - - [22/May/2020:06:45:37 +0530] "GET /Hospital/style.css HTTP/1.1" 404 731
0:0:0:0:0:0:0:1 - - [22/May/2020:06:45:50 +0530] "POST /Hospital/Check.jsp HTTP/1.1" 200 3485
0:0:0:0:0:0:0:1 - - [22/May/2020:06:45:50 +0530] "GET /Hospital/style.css HTTP/1.1" 404 731
0:0:0:0:0:0:0:1 - - [22/May/2020:06:45:57 +0530] "GET /Hospital/BookAppointment.jsp?pid=2089&patname=Erin&prob=General HTTP/1.1" 200 4496
0:0:0:0:0:0:0:1 - - [22/May/2020:06:47:30 +0530] "GET /Hospital/ShowAppointment.jsp?docid=3010&dname=Walter+White&pid=2089&pname=Erin&date=28th+May&time=10+AM HTTP/1.1" 200 4922
0:0:0:0:0:0:0:1 - - [22/May/2020:06:47:31 +0530] "GET /Hospital/style.css HTTP/1.1" 404 731
0:0:0:0:0:0:0:1 - - [22/May/2020:06:47:43 +0530] "GET /Hospital/AfterLogin.jsp HTTP/1.1" 200 8668
0:0:0:0:0:0:0:1 - - [22/May/2020:06:47:43 +0530] "GET /Hospital/style.css HTTP/1.1" 404 731
0:0:0:0:0:0:0:1 - - [22/May/2020:06:47:53 +0530] "POST /Hospital/Check.jsp HTTP/1.1" 200 8708
0:0:0:0:0:0:0:1 - - [22/May/2020:06:47:53 +0530] "GET /Hospital/style.css HTTP/1.1" 404 731
0:0:0:0:0:0:0:1 - - [22/May/2020:06:47:58 +0530] "GET /Hospital/AddPatient.jsp? HTTP/1.1" 200 4351
0:0:0:0:0:0:0:1 - - [22/May/2020:06:47:58 +0530] "GET /Hospital/style.css HTTP/1.1" 404 731
0:0:0:0:0:0:0:1 - - [22/May/2020:06:50:28 +0530] "GET /Hospital/Login.jsp HTTP/1.1" 200 3454
0:0:0:0:0:0:0:1 - - [22/May/2020:06:50:28 +0530] "GET /Hospital/style.css HTTP/1.1" 404 731
0:0:0:0:0:0:0:1 - - [22/May/2020:06:50:56 +0530] "GET /Hospital/Login.jsp HTTP/1.1" 200 3454
0:0:0:0:0:0:0:1 - - [22/May/2020:06:50:56 +0530] "GET /Hospital/style.css HTTP/1.1" 404 731
0:0:0:0:0:0:0:1 - - [22/May/2020:06:50:56 +0530] "GET /Hospital/heart.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/May/2020:06:57:44 +0530] "POST /Hospital/LoginProcess.jsp HTTP/1.1" 200 3470
0:0:0:0:0:0:0:1 - - [22/May/2020:06:57:44 +0530] "GET /Hospital/style.css HTTP/1.1" 404 731
0:0:0:0:0:0:0:1 - - [22/May/2020:06:57:47 +0530] "GET /Hospital/style.css HTTP/1.1" 404 731
0:0:0:0:0:0:0:1 - - [22/May/2020:06:57:47 +0530] "GET /Hospital/style.css HTTP/1.1" 404 731
0:0:0:0:0:0:0:1 - - [22/May/2020:06:57:49 +0530] "GET /Hospital/style.css HTTP/1.1" 404 731
0:0:0:0:0:0:0:1 - - [22/May/2020:06:57:49 +0530] "GET /Hospital/style.css HTTP/1.1" 404 731
0:0:0:0:0:0:0:1 - - [22/May/2020:06:57:50 +0530] "GET /Hospital/style.css HTTP/1.1" 404 731
0:0:0:0:0:0:0:1 - - [22/May/2020:06:57:50 +0530] "GET /Hospital/style.css HTTP/1.1" 404 731
